Ticker,announcement date,period end,estimate,report,surprise,% surprise
T,28-Oct-19,19-Sep,$0.93 ,$0.94 ,0.01,1
COO,5-Dec-19,19-Oct,$3.27 ,$3.30 ,0.03,0.9
WELL,28-Oct-19,19-Sep,$1.04 ,$1.05 ,0.01,0.9
DHR,24-Oct-19,19-Sep,$1.15 ,$1.16 ,0.01,0.8
VZ,25-Oct-19,19-Sep,$1.24 ,$1.25 ,0.01,0.8
ADP,30-Oct-19,19-Sep,$1.33 ,$1.34 ,0.01,0.7
WLTW,31-Oct-19,19-Sep,$1.30 ,$1.31 ,0.01,0.7
AEE,8-Nov-19,19-Sep,$1.46 ,$1.47 ,0.01,0.6
AMG,28-Oct-19,19-Sep,$3.14 ,$3.16 ,0.02,0.6
ANTM,23-Oct-19,19-Sep,$4.84 ,$4.87 ,0.03,0.6
ETN,29-Oct-19,19-Sep,$1.51 ,$1.52 ,0.01,0.6
SNA,17-Oct-19,19-Sep,$2.94 ,$2.96 ,0.02,0.6
SRE,1-Nov-19,19-Sep,$1.49 ,$1.50 ,0.01,0.6
AVGO,12-Dec-19,19-Oct,$5.36 ,$5.39 ,0.03,0.5
RJF,23-Oct-19,19-Sep,$1.99 ,$2.00 ,0.01,0.5
ZBH,5-Nov-19,19-Sep,$1.76 ,$1.77 ,0.01,0.5
AXP,18-Oct-19,19-Sep,$2.07 ,$2.08 ,0.01,0.4
DE,27-Nov-19,19-Oct,$2.13 ,$2.14 ,0.01,0.4
UPS,22-Oct-19,19-Sep,$2.06 ,$2.07 ,0.01,0.4
ALK,24-Oct-19,19-Sep,$2.62 ,$2.63 ,0.01,0.3
BDX,5-Nov-19,19-Sep,$3.30 ,$3.31 ,0.01,0.3
NSC,23-Oct-19,19-Sep,$2.57 ,$2.58 ,0.01,0.3
WHR,22-Oct-19,19-Sep,$3.96 ,$3.97 ,0.01,0.2
ABT,16-Oct-19,19-Sep,$0.84 ,$0.84 ,0,0
AGN,5-Nov-19,19-Sep,$4.25 ,$4.25 ,0,0
AIZ,5-Nov-19,19-Sep,$1.69 ,$1.69 ,0,0
AMD,29-Oct-19,19-Sep,$0.18 ,$0.18 ,0,0
